question_id,question,my_forecast_%,community_median_%,gap_points,category,resolve_time,url
35710,Will the 2026 ICPC World Finals be held in China?,8.0,,,Sports & Entertainment,2026-08-16,https://www.metaculus.com/questions/35710/
43510,Will the Senate of the Philippines remove Vice President Sara Duterte from office before September 2026?,8.0,,,Law,2026-09-01,https://www.metaculus.com/questions/43510/
42684,Will total MLB regular-season attendance in 2026 exceed 72 million?,32.0,,,Sports & Entertainment,2026-10-06,https://www.metaculus.com/questions/42684/
41544,"Will Jonathan Ross be indicted or charged in the death of Renee Good before July 1, 2026?",12.0,,,Law,2026-07-01,https://www.metaculus.com/questions/41544/
43307,"Will there be a nationwide anti-government uprising in Russia between September 20 and November 1, 2026?",9.0,,,Politics,2026-11-03,https://www.metaculus.com/questions/43307/
43336,Will another country announce they will quit OPEC or OPEC+ before September 2026?,28.0,,,Economy & Business,2026-09-02,https://www.metaculus.com/questions/43336/
38063,Will the One Big Beautiful Bill Act contain a 5+ year AI moratorium provision and be signed into law before July 2026?,12.0,,,Artificial Intelligence,2026-06-30,https://www.metaculus.com/questions/38063/
43507,"Will Bitcoin trade above $120,000 before August 1, 2026?",17.0,,,Crypto­currencies,2026-08-01,https://www.metaculus.com/questions/43507/
43430,Will Pope Leo XIV visit another country other than Spain before September 2026?,22.0,,,Geopolitics,2026-09-01,https://www.metaculus.com/questions/43430/
39825,Will any coding tool introduce an integration with brain-computer interface technology before November 2026?,18.0,,,Technology,2026-11-01,https://www.metaculus.com/questions/39825/
43266,"Will the United States and Iran hold another face-to-face diplomatic meeting before June 6, 2026?",12.0,,,Geopolitics,2026-06-07,https://www.metaculus.com/questions/43266/
