scan_date,scan_time,symbol,price,decision,direction,confidence,leverage,risk,momentum_24h,momentum_7d,volume_trend_pct,rsi,funding_rate,oi_change_pct,reasoning,sfp_signal
7/06/2026,20:51:29,XRPUSDT,1.1328,HOLD,none,0.35,5,MEDIUM,4.22,-15.54,-19.5,49.6,-0.013,0.23,"Mixed signals prevent conviction: 24h momentum (+4.22%) is positive but 7d momentum is deeply negative (-15.54%), RSI at 49.6 lacks directional bias, and volume is declining (-19.5% vs 7d avg). Macro ",
7/06/2026,20:51:29,TRXUSDT,0.32822,HOLD,none,0.35,5,MEDIUM,2.67,-5.82,-11.2,52.3,-0.0033,-0.53,"Mixed signals prevent high-conviction entry: 24h momentum is positive (+2.67%) but 7d momentum is negative (-5.82%), and volume is declining (-11.2% vs 7d average). RSI at 52.3 is neutral without clea",
7/06/2026,20:51:29,AVAXUSDT,6.691,BUY,long,0.62,5,HIGH,0.18,-25.73,-32.3,28.6,-0.0173,-0.95,"Extreme fear environment and negative funding rate (-0.0173%) create a contrarian long setup, with RSI at 28.6 signaling oversold conditions and potential reversal. However, -25.73% 7d momentum, -32.3",
7/06/2026,20:51:29,TONUSDT,1.7002,HOLD,none,0.42,5,MEDIUM,9.82,-10.34,-38.4,57.2,0.005,2.71,"Mixed signals prevent conviction: 24h momentum is strong (+9.82%) but 7d momentum is negative (-10.34%) and price is -25.60% from 7d high, indicating weakening uptrend. Volume trend is declining (-38.",
7/06/2026,20:51:29,LINKUSDT,7.694,BUY,long,0.62,5,MEDIUM,5.21,-16.6,-46.6,46.9,0.0088,-1,"Extreme fear macro environment favours longs; strong 24h momentum (+5.21%) and RSI at neutral 46.9 suggest upside potential. However, weak 7d momentum (-16.60%), declining volume (-46.6%), and falling",
7/06/2026,20:51:29,DOTUSDT,0.9635,HOLD,none,0.35,5,MEDIUM,1.98,-19.15,-59.1,37.5,-0.0143,-1.16,"Mixed signals prevent conviction: 7d momentum is deeply negative (-19.15%) and price sits -20.1% from 7d high, but 24h momentum is positive (+1.98%) and macro regime favours longs in extreme fear. Vol",
7/06/2026,20:51:29,NEARUSDT,1.89,HOLD,none,0.35,5,HIGH,-1.37,-16.8,-38.3,24.8,0.0027,1.89,"RSI at 24.8 signals oversold conditions (extreme fear), and macro environment favours longs, but strong negative momentum (-16.80% 7d, -38.80% from 7d high) and declining volume (-38.3%) create insuff",
7/06/2026,20:51:29,BCHUSDT,224.7,HOLD,none,0.35,5,MEDIUM,2.37,-25.91,-13.1,38.7,-0.009,7.17,Mixed signals prevent conviction: strong negative 7d momentum (-25.91%) and RSI oversold at 38.7 conflict with positive 24h momentum (+2.37%) and macro fear regime favouring longs. Volume declining (-,
7/06/2026,20:51:29,APTUSDT,0.6723,HOLD,none,0.35,5,HIGH,3.08,-28.49,-50.7,33.6,-0.0045,-0.43,"APT shows conflicting signals: positive 24h momentum (+3.08%) and negative funding rate support a long setup, but severe RSI oversold (33.6 < 25), deep 7d drawdown (-28.49%), and collapsed volume (-50",
7/06/2026,20:51:29,ICPUSDT,2.367,HOLD,none,0.35,5,MEDIUM,2.78,-13.07,-41.7,38.7,0.01,-2.71,"Mixed signals prevent conviction: while macro fear favors longs and funding is benign (+0.0100%), the 7d momentum is deeply negative (-13.07%), RSI is oversold (38.7), and volume has collapsed 41.7% b",
7/06/2026,20:51:29,HBARUSDT,0.08137,HOLD,none,0.35,5,MEDIUM,3.58,-17.65,-63.6,48.5,-0.0029,-1.29,"Mixed signals prevent conviction: 24h momentum is positive (+3.58%) but 7d momentum is heavily negative (-17.65%), and volume has collapsed 63.6% below 7d average, indicating weak conviction. RSI at 4",
7/06/2026,20:51:29,UNIUSDT,2.551,HOLD,none,0.35,5,MEDIUM,5.2,-15.86,-41,48.5,0.0053,0.85,"Mixed signals prevent conviction: 24h momentum is positive (+5.20%) but 7d momentum is deeply negative (-15.86%), and volume is declining (-41.0% vs 7d avg). RSI at 48.5 is neutral without directional",
7/06/2026,20:51:29,HYPEUSDT,58.729,HOLD,none,0.35,5,MEDIUM,-1.53,-13.37,-49.5,42.2,0.01,-0.3,"Mixed signals prevent conviction: macro environment favours longs (extreme fear regime), but HYPE shows clear downtrend (-13.37% 7d momentum, -22.54% from 7d high) with weak technicals (RSI 42.2, volu",
7/06/2026,21:05:24,BTCUSDT,62373.6,BUY,long,0.62,5,MEDIUM,2.64,-15.61,-40.2,47.7,-0.0014,1.36,"Macro environment favours longs (extreme fear, market regime supports long bias). 24h momentum is positive (+2.64%) and funding is negative (no crowding), though 7d momentum is deeply negative (-15.61",
7/06/2026,21:05:24,BNBUSDT,593.1,BUY,long,0.62,5,MEDIUM,3.42,-17.94,-60.8,48.4,0.01,1.24,"Extreme fear environment favours longs; 24h momentum is positive (+3.42%) and price is only 6.62% above 7d low, suggesting potential reversal. However, 7d momentum is heavily negative (-17.94%), volum",
7/06/2026,21:05:24,SOLUSDT,64.61,HOLD,none,0.35,5,MEDIUM,3.54,-21.89,-34.7,37,-0.0326,-0.23,"Mixed signals prevent conviction: while macro fear regime favours longs and funding is neutral (-0.0326%), the 7d momentum is deeply negative (-21.89%) with price 22.26% below 7d high and volume decli",
7/06/2026,21:05:24,XRPUSDT,1.1353,HOLD,none,0.45,5,MEDIUM,4.45,-15.35,-18.4,50.5,-0.0113,0.23,"Mixed signals prevent high-conviction entry: while macro environment favours longs (extreme fear, negative funding) and 24h momentum is positive (+4.45%), the 7d momentum is deeply negative (-15.35%) ",
7/06/2026,21:05:24,TRXUSDT,0.32871,HOLD,none,0.35,5,MEDIUM,2.82,-5.68,-10.2,53.4,-0.0042,-0.53,"Mixed signals prevent conviction: 24h momentum is positive (+2.82%) but 7d momentum is negative (-5.68%), and volume is declining (-10.2% vs 7d avg). RSI at 53.4 is neutral. Macro environment favors l",
7/06/2026,21:05:24,AVAXUSDT,6.703,BUY,long,0.62,5,HIGH,0.36,-25.6,-30,28.9,-0.0177,-0.95,"Extreme fear regime favours longs; RSI at 28.9 signals oversold conditions with reversal potential. Negative funding rate (-0.0177%) reduces short squeeze risk. However, -25.6% 7d momentum and -30% vo",
7/06/2026,21:05:24,TONUSDT,1.7076,BUY,long,0.68,5,MEDIUM,10.3,-9.95,-37.6,58.2,0.005,2.71,"Strong 24h momentum (+10.30%) with macro environment favoring longs (extreme fear regime). Funding rate is benign (+0.0050%), and RSI at 58.2 shows room to run without overbought conditions. However, ",
7/06/2026,21:05:24,LINKUSDT,7.705,BUY,long,0.62,5,MEDIUM,5.36,-16.48,-45.6,47.2,0.01,-1,"Extreme fear environment (FGI: 12) favours longs; LINK shows strong 24h momentum (+5.36%) with RSI at neutral 47.2, positioning well within safe range. However, weak 7d momentum (-16.48%), depressed v",
7/06/2026,21:05:24,DOTUSDT,0.9633,HOLD,none,0.35,5,MEDIUM,1.96,-19.17,-58,37.4,-0.0146,-1.16,"Mixed signals with conflicting momentum: 24h up 1.96% but 7d down -19.17%, price 20% below 7d high indicating downtrend structure. Volume collapsed -58% vs 7d average, lacking confirmation for convict",
7/06/2026,21:05:24,NEARUSDT,1.8923,HOLD,none,0.35,5,HIGH,-1.25,-16.7,-37.5,25,0.0011,1.89,"RSI at 25 signals oversold conditions and triggers HIGH risk classification, despite macro environment favouring longs. Strong negative momentum (-16.70% 7d) and -38.73% distance from 7d high indicate",
7/06/2026,21:05:24,BCHUSDT,224.6,HOLD,none,0.35,5,MEDIUM,2.32,-25.95,-12.1,38.6,-0.0085,7.17,Mixed signals prevent conviction: 7d momentum deeply negative (-25.95%) and RSI depressed (38.6) argue caution despite macro FEAR regime favouring longs. Positive 24h momentum (+2.32%) and rising OI (,
7/06/2026,21:05:24,APTUSDT,0.672,HOLD,none,0.35,5,HIGH,3.04,-28.52,-49.4,33.5,-0.0086,-0.43,"Mixed signals prevent conviction: while macro environment favours longs and funding is benign (-0.0086%), the 7d momentum is severely negative (-28.52%) with price 30% below weekly high, RSI at 33.5 i",
7/06/2026,21:05:24,ICPUSDT,2.371,HOLD,none,0.35,5,MEDIUM,2.95,-12.93,-40.9,38.9,0.01,-2.71,"Mixed signals prevent conviction: while macro environment favors longs (extreme fear, low BTC dominance), ICP shows weak technicals with negative 7d momentum (-12.93%), depressed RSI (38.9 near overso",
7/06/2026,21:05:24,HBARUSDT,0.08136,HOLD,none,0.35,5,MEDIUM,3.56,-17.66,-62.4,48.5,-0.0041,-1.29,"Mixed signals prevent conviction: 24h momentum is positive (+3.56%) but 7d momentum is significantly negative (-17.66%), and price sits 18.12% below 7d high indicating weakness. Volume has collapsed 6",
7/06/2026,21:05:24,UNIUSDT,2.542,HOLD,none,0.35,5,MEDIUM,4.82,-16.16,-39.8,47.6,0.0073,0.85,"Mixed signals prevent conviction: 24h momentum is positive (+4.82%) and macro fear regime favours longs, but 7d momentum is sharply negative (-16.16%) and volume is declining (-39.8%), suggesting weak",
7/06/2026,21:05:24,HYPEUSDT,58.607,HOLD,none,0.35,5,MEDIUM,-1.73,-13.54,-48.8,41.9,0.01,-0.3,"Mixed signals prevent conviction: macro fear regime favours longs, but HYPE shows strong downtrend (-13.54% 7d, -22.70% from high) with weak momentum (RSI 41.9, negative 24h/7d). Volume collapse (-48.",
7/06/2026,21:16:23,BTCUSDT,62435.2,BUY,long,0.62,5,MEDIUM,2.74,-15.53,-39.1,48.1,-0.0014,1.36,"Extreme fear environment (FGI: 12) favours long bias per macro rules; +2.74% 24h momentum with RSI at neutral 48.1 supports upside. However, -15.53% 7d momentum and -39.1% volume trend create convicti",
7/06/2026,21:16:23,BNBUSDT,593.9,BUY,long,0.62,5,MEDIUM,3.56,-17.83,-59.2,49,0.01,1.24,"Extreme fear environment favours longs per macro rules; 24h momentum +3.56% and price 6.76% above 7d low show near-term recovery. However, -17.83% 7d momentum, -59.2% volume decline, and RSI at neutra",
7/06/2026,21:16:23,SOLUSDT,64.64,HOLD,none,0.35,5,MEDIUM,3.59,-21.86,-33.7,37.2,-0.0329,-0.23,Mixed signals prevent conviction despite macro fear regime favouring longs. 7d momentum deeply negative (-21.86%) and RSI oversold (37.2) conflict with +3.59% 24h bounce; volume declining (-33.7%) fai,
7/06/2026,21:16:23,XRPUSDT,1.1351,HOLD,none,0.35,5,MEDIUM,4.43,-15.37,-17.3,50.4,-0.0104,0.23,"Mixed signals prevent conviction: 24h momentum is positive (+4.43%) and funding is favorable (negative at -0.0104%), but 7d momentum is sharply negative (-15.37%) with price 15.78% below 7d high, indi",
7/06/2026,21:16:23,TRXUSDT,0.32893,HOLD,none,0.35,5,MEDIUM,2.89,-5.62,-9.6,53.8,-0.0043,-0.53,"Mixed signals prevent conviction: 24h momentum is positive (+2.89%) but 7d momentum is negative (-5.62%), and volume is declining (-9.6% vs 7d avg). RSI at 53.8 is neutral, and price sits only 3.69% a",
7/06/2026,21:16:23,AVAXUSDT,6.706,HOLD,none,0.35,5,HIGH,0.4,-25.56,-29.3,28.9,-0.0173,-0.95,"RSI at 28.9 indicates oversold conditions favouring a long, and macro environment (extreme fear, negative funding) supports longs; however, strong 7d downtrend (-25.56%), weak volume (-29.3% vs avg), ",
7/06/2026,21:16:23,LINKUSDT,7.727,HOLD,none,0.35,5,MEDIUM,5.66,-16.24,-44.5,48,0.01,-1,"Mixed signals with insufficient conviction: while macro fear regime and positive 24h momentum (+5.66%) support a long bias, the weak 7d momentum (-16.24%), depressed volume (-44.5% vs average), and ne",
7/06/2026,21:16:23,DOTUSDT,0.9665,HOLD,none,0.35,5,MEDIUM,2.3,-18.9,-57.4,38.2,-0.0129,-1.16,Mixed signals with conflicting momentum: positive 24h (+2.30%) versus weak 7d momentum (-18.90%) and significant distance from 7d high (-19.85%). RSI at 38.2 suggests oversold conditions favoring long,
7/06/2026,21:16:23,NEARUSDT,1.9027,HOLD,none,0.35,5,HIGH,-0.7,-16.24,-36.9,25.5,0.0022,1.89,"Extreme fear regime favours longs, but NEAR shows severely depressed momentum (-16.24% 7d), oversold RSI (25.5), and declining volume (-36.9%), creating mixed signals. While funding is benign and pric",
7/06/2026,21:16:23,BCHUSDT,224.3,HOLD,none,0.35,5,MEDIUM,2.19,-26.05,-11.7,38.3,-0.0066,7.17,"Mixed signals prevent conviction: macro environment (Extreme Fear, market regime favoring longs) supports a long setup, but 7d momentum (-26.05%) and technical weakness (RSI 38.3 near oversold, -26.36",
7/06/2026,21:16:23,APTUSDT,0.673,HOLD,none,0.35,5,HIGH,3.19,-28.41,-48.9,33.7,-0.007,-0.43,"Mixed signals prevent conviction: while macro favours longs and funding is neutral (-0.0070%), strong 7d downtrend (-28.41%), depressed volume (-48.9%), and RSI deeply oversold (33.7) suggest capitula",
7/06/2026,21:16:23,ICPUSDT,2.374,HOLD,none,0.35,5,MEDIUM,3.08,-12.82,-40.5,39.1,0.01,-2.71,"Mixed signals prevent conviction despite macro FEAR favoring longs: 7d momentum is deeply negative (-12.82%), volume is declining sharply (-40.5% vs avg), and RSI at 39.1 shows weakness. While 24h mom",
7/06/2026,21:16:23,HBARUSDT,0.08153,HOLD,none,0.35,5,MEDIUM,3.78,-17.49,-61.9,49.2,-0.0054,-1.29,"Mixed signals prevent conviction despite macro tailwind from extreme fear. 24h momentum is positive (+3.78%) but 7d momentum is strongly negative (-17.49%), RSI is neutral at 49.2, and volume is decli",
7/06/2026,21:16:23,UNIUSDT,2.546,HOLD,none,0.35,5,MEDIUM,4.99,-16.03,-39.2,48,0.0093,0.85,"Mixed signals prevent conviction: positive 24h momentum (+4.99%) and macro regime favour longs, but 7d momentum is deeply negative (-16.03%) and volume is declining (-39.2%). RSI at 48 is neutral, and",
7/06/2026,21:16:23,HYPEUSDT,58.774,HOLD,none,0.35,5,MEDIUM,-1.45,-13.3,-48.3,42.3,0.01,-0.3,"Mixed signals prevent conviction: strong 7d downtrend (-13.30%) and distance from 7d high (-22.48%) suggest weakness, but macro fear regime favours longs and funding is benign at +0.0100%. RSI at 42.3",
8/06/2026,1:00:01,BTCUSDT,61834.1,BUY,long,0.62,5,MEDIUM,1.78,-16.01,-22.7,41.7,0.0012,0.1,"Extreme fear environment (FGI: 12) favours longs per macro regime; +1.78% 24h momentum is positive with funding at +0.0012% (well below +0.15% threshold). However, 7d momentum is severely negative (-1",
8/06/2026,1:00:01,BNBUSDT,590.8,HOLD,none,0.35,5,MEDIUM,2.68,-18.04,-64.6,48.5,0.0067,0.25,"Mixed signals with conflicting momentum: +2.68% 24h strength undermined by -18.04% 7d weakness and -64.6% volume collapse. RSI at 48.5 is neutral, and while macro environment favors longs, the technic",
8/06/2026,1:00:01,SOLUSDT,64.82,HOLD,none,0.35,5,MEDIUM,4.53,-20.8,-16.9,42.3,-0.0332,0.91,"Mixed signals prevent conviction: 24h momentum is positive (+4.53%) and funding is neutral (-0.0332%), but 7d momentum is strongly negative (-20.80%) with price 21.98% below 7d high, indicating recent",
8/06/2026,1:00:01,XRPUSDT,1.1323,HOLD,none,0.45,5,MEDIUM,3.37,-14.85,-12.8,48.9,-0.0076,0.72,"Mixed signals prevent conviction: 24h momentum is positive (+3.37%) and funding is neutral (-0.0076%), but 7d momentum is sharply negative (-14.85%) and volume is declining (-12.8%), indicating weaken",
8/06/2026,1:00:01,TRXUSDT,0.32784,HOLD,none,0.42,5,MEDIUM,1.91,-5.94,-41.3,55.8,-0.0131,-1.11,"Mixed signals with conflicting momentum: +1.91% 24h gain undermined by -5.94% 7d decline and -41.3% volume contraction suggests weakening conviction. RSI at 55.8 is neutral, and negative funding (-0.0",
8/06/2026,1:00:01,AVAXUSDT,6.713,HOLD,none,0.35,5,HIGH,0.4,-24.39,-25.3,29.3,-0.0084,-3.06,"RSI at 29.3 signals oversold conditions (< 25 threshold breach), but 7-day momentum is severely negative (-24.39%) with price 25.98% below 7d high, indicating a weak downtrend rather than a reversal s",
8/06/2026,1:00:01,LINKUSDT,7.728,HOLD,none,0.45,5,MEDIUM,4.77,-14.97,-45.4,54,0.0079,-2.16,"Mixed signals prevent high-conviction entry. While macro fear environment favours longs and 24h momentum is positive (+4.77%), the 7d momentum is significantly negative (-14.97%) with price 16.15% bel",
8/06/2026,1:00:01,DOTUSDT,0.9656,HOLD,none,0.35,5,MEDIUM,2.96,-17.64,-57.1,40.9,-0.01,-0.56,"Mixed signals prevent conviction: 24h momentum is positive (+2.96%) and funding rate is neutral (-0.0100%), but 7d momentum is deeply negative (-17.64%) with price 19.93% below 7d high. Volume collaps",
8/06/2026,1:00:01,NEARUSDT,1.981,HOLD,none,0.35,5,MEDIUM,5.05,-14.46,-41.8,38.1,0.01,-0.29,"Mixed signals prevent conviction: 24h momentum is positive (+5.05%) and funding is benign (+0.0100%), but 7d momentum is deeply negative (-14.46%) with price 35.86% below 7d high, indicating a weakeni",
8/06/2026,1:00:01,BCHUSDT,225.5,HOLD,none,0.35,5,MEDIUM,3.87,-24.61,-39.9,50,-0.0081,-2.71,"Mixed signals prevent conviction: 24h momentum is positive (+3.87%) but severely undermined by 7d downtrend (-24.61%) and price 26% below weekly high. RSI at 50 is neutral, volume is weak (-39.9% vs a",
8/06/2026,1:00:01,APTUSDT,0.6725,HOLD,none,0.35,5,MEDIUM,2.81,-27.01,-29,36.9,-0.0133,0.53,"Mixed signals with weak conviction: 7d momentum is deeply negative (-27.01%) and price is near 7d lows despite +2.81% 24h bounce, while RSI at 36.9 shows oversold conditions but volume is contracting ",
8/06/2026,1:00:01,ICPUSDT,2.382,HOLD,none,0.35,5,MEDIUM,3.39,-10.01,-59.8,42.1,0.0078,1.11,"Mixed signals prevent conviction: 24h momentum is positive (+3.39%) but 7d momentum is negative (-10.01%) and price is -26.02% from 7d high, indicating weak underlying trend. Volume is declining (-59.",
8/06/2026,1:00:01,HBARUSDT,0.08125,HOLD,none,0.35,5,MEDIUM,2.61,-14.24,-63.5,47.1,-0.0021,-0.65,"Mixed signals with weak conviction. While macro fear environment and negative funding favour longs, HBAR shows conflicting technicals: strong 7d downtrend (-14.24%), high distance from 7d high (-17.05",
8/06/2026,1:00:01,UNIUSDT,2.522,HOLD,none,0.45,5,MEDIUM,3.28,-15.54,-52.6,47.2,0.01,0.69,"Mixed signals prevent conviction: 24h momentum is positive (+3.28%) and funding is benign, but 7d momentum is significantly negative (-15.54%) and volume has collapsed 52.6% below average, indicating ",
8/06/2026,1:00:01,HYPEUSDT,58.769,HOLD,none,0.35,5,MEDIUM,0.82,-14.32,-29.2,39.3,0.0012,-1.04,"Mixed signals prevent conviction: while macro environment favours longs (extreme fear, low BTC dominance) and funding is healthy (+0.0012%), technicals show weakness with RSI at 39.3 (approaching over",
8/06/2026,8:20:12,BTCUSDT,63150.8,HOLD,none,0.35,5,MEDIUM,3.77,-14.26,-18.2,69.2,-0.0009,0.99,Mixed signals prevent conviction: 24h momentum is positive (+3.77%) but overshadowed by weak 7d momentum (-14.26%) and price 14.73% below 7d high. RSI at 69.2 suggests overbought conditions on intrada,
8/06/2026,8:20:12,BNBUSDT,603.8,HOLD,none,0.35,5,MEDIUM,5.19,-14.99,-51.6,67.7,0.01,-1.22,"Mixed signals prevent conviction: 24h momentum is positive (+5.19%) but overshadowed by weak 7d momentum (-14.99%) and price 17.3% below 7d high, indicating loss of uptrend structure. RSI at 67.7 is e",
8/06/2026,8:20:12,SOLUSDT,66.53,HOLD,none,0.35,5,MEDIUM,7.03,-19.27,-14.2,61.4,-0.0374,0.49,"Mixed signals prevent conviction: 24h momentum is positive (+7.03%) but 7d momentum is deeply negative (-19.27%), with price 19.92% below 7d high indicating weakness. RSI at 61.4 is neutral, volume is",
8/06/2026,8:20:12,XRPUSDT,1.1557,HOLD,none,0.35,5,MEDIUM,5.77,-13.25,-29.7,68,-0.0059,0.42,"XRP shows conflicting signals: strong 24h momentum (+5.77%) and neutral funding offset by weak 7d momentum (-13.25%), elevated RSI (68.0) suggesting overbought conditions, and declining volume (-29.7%",
8/06/2026,8:20:12,TRXUSDT,0.32584,HOLD,none,0.35,5,MEDIUM,0.57,-7.22,-51,66,-0.0381,-0.15,"Mixed signals prevent conviction: 24h momentum is marginally positive (+0.57%) but 7d momentum is sharply negative (-7.22%), and TRX sits near 7d highs with declining volume (-51% vs 7d avg). RSI at 6",
